,pid,pname,ppm,rpm,apm,MP
328,329,Joe Johnson,16.922107561,4.07134352054,4.17493550308,40312
316,317,Richard Jefferson,16.0315481015,4.98734335058,2.58233056924,32078
30,31,Metta World Peace,14.9859844701,5.09198698328,3.02735444792,31037
93,94,Caron Butler,15.7942144956,5.57787770421,2.54930425238,28243
160,161,Luol Deng,15.8280059799,6.24304121877,2.4064924895,28094
434,435,Mike Miller,14.2549460106,5.64823537938,3.44111892166,27598
176,177,Mike Dunleavy,14.7221426636,5.59430274413,2.9246429539,25837
218,219,Rudy Gay,18.625760974,5.93463633451,2.2882089074,24968
576,577,J.R. Smith,17.8079002079,4.36091476091,2.98378378378,21645
403,404,Kevin Martin,20.7937896965,3.79223712068,2.26619618913,21255
230,231,Ben Gordon,19.592654424,3.27192379456,3.30197387803,20366
681,682,Thaddeus Young,16.3707762557,6.8401826484,1.76621004566,19710
244,245,Jeff Green,15.7494275101,5.52338303394,1.85761538853,19651
235,236,Danny Granger,19.1907827122,5.62384378212,2.1362038189,18487
4,5,Arron Afflalo,14.690864142,3.81481065288,2.47780649511,17798
204,205,Randy Foye,14.9202777937,3.05802674625,3.98369970728,17423
39,40,Leandro Barbosa,17.9510811769,3.31797235023,3.54555122297,16926
161,162,DeMar DeRozan,18.9898386133,4.1207411835,2.73281530185,16730
407,408,O.J. Mayo,16.2664422268,3.63159793195,3.43032343393,16634
404,405,Wesley Matthews,15.6429244986,3.44904758911,2.27899666813,15907
41,42,Andrea Bargnani,17.9316715171,5.78742249779,1.48728331014,15806
294,295,Josh Howard,17.0501628664,6.76846905537,1.91609120521,15350
79,80,Corey Brewer,14.1928973922,4.29065653256,2.40833442537,15262
280,281,George Hill,14.2821493258,3.95331052526,4.08130408533,14907
245,246,Willie Green,14.7550564838,3.17310424136,2.47906378949,14783
531,532,J.J. Redick,16.7146464646,2.77525252525,2.85606060606,14256
232,233,Eric Gordon,17.5896851403,2.66448211996,3.48767630717,14038
113,114,Wilson Chandler,15.8698763826,6.13142485361,2.04033832141,13833
679,680,Nick Young,18.3388523475,3.11363120889,1.58403266047,13227
431,432,C.J. Miles,16.798136646,4.18695652174,2.10186335404,12880
54,55,Marco Belinelli,14.8990711108,3.15572554836,2.55436734057,12811
271,272,Gordon Hayward,16.9027865738,4.62539582014,4.00411652945,12632
211,212,Danilo Gallinari,17.4308537194,5.40389415876,2.25861208188,12018
273,274,Gerald Henderson,15.70603493,4.49455300017,2.69548677157,11566
612,613,Klay Thompson,20.0382375945,3.59781002868,2.59980881203,11507
450,451,Anthony Morrow,15.6935312831,3.72852598091,1.46659597031,11316
221,222,Paul George,18.4801519125,6.96301654761,3.42128583055,11059
495,496,Chandler Parsons,15.3447513812,5.44309392265,3.22872928177,10860
614,615,Marcus Thornton,18.5588571429,4.24114285714,2.11542857143,10500
424,425,Jodie Meeks,14.5913266818,3.2077447397,1.62520991801,10123
242,243,Gerald Green,17.8854209446,4.45379876797,1.8,9740
94,95,Jimmy Butler,15.552581262,5.13193116635,2.75717017208,9414
77,78,Avery Bradley,15.0185289163,3.40797304885,2.13857383492,8905
637,638,Dion Waiters,16.6003184713,3.27707006369,3.14808917197,7536
464,465,Gary Neal,16.6612364802,3.64855120844,2.74963279477,7489
87,88,Shannon Brown,15.3155955792,3.73311502251,2.24969300041,7329
51,52,Bradley Beal,17.4180821918,4.11287671233,3.24,7300
430,431,Khris Middleton,15.6855363322,4.51432525952,2.92484429066,7225
169,170,Toney Douglas,14.4855106888,4.03040380048,4.17862232779,6315
92,93,Alec Burks,16.6396761134,4.54251012146,3.03643724696,5928
203,204,Evan Fournier,15.6084878608,3.70942458421,2.84916841904,5231
438,439,Patty Mills,17.2259194396,3.36252189142,4.11208406305,5139
656,657,Andrew Wiggins,18.5328089422,4.24011591803,1.98219830263,4831
253,254,Tim Hardaway,15.9018404908,2.91717791411,2.00613496933,3912
45,46,Will Barton,16.0410094637,6.69085173502,2.83911671924,3804
600,601,Mirza Teletovic,16.097404335,6.83007760235,1.70511105165,3737
555,556,Mike Scott,17.5562178271,6.96396640477,2.04822541317,3691
666,667,Reggie Williams,15.4651353568,4.79409351928,2.92370795734,3657
412,413,C.J. McCollum,18.721321505,3.59008871214,3.42490058122,3269
366,367,Jeremy Lamb,16.6041731548,5.54967299907,2.46652133292,3211
120,121,Jordan Clarkson,17.1251175917,4.49294449671,3.84948259643,3189
134,135,Robert Covington,16.5377833753,6.5516372796,1.89294710327,3176
207,208,Jimmer Fredette,16.1387209672,2.70314985682,3.69965001591,3143
82,83,MarShon Brooks,15.7844228095,4.48122392211,2.90403337969,2876
290,291,Rodney Hood,16.0880121396,3.83763277693,2.92261001517,2636
