,pid,pname,ppm,rpm,apm,MP,dist
194,317,Richard Jefferson,16.0315481015,4.98734335058,2.58233056924,32078,22.3834593308
301,526,Tayshaun Prince,12.9344215074,4.94402304369,2.74795967355,31245,32.7893186664
18,31,Metta World Peace,14.9859844701,5.09198698328,3.02735444792,31037,23.2909280286
64,94,Caron Butler,15.7942144956,5.57787770421,2.54930425238,28243,25.0462928488
101,161,Luol Deng,15.8280059799,6.24304121877,2.4064924895,28094,28.6650438739
255,435,Mike Miller,14.2549460106,5.64823537938,3.44111892166,27598,26.1852128602
113,177,Mike Dunleavy,14.7221426636,5.59430274413,2.9246429539,25837,26.315286448
214,362,Kyle Korver,13.6284987277,4.26317702654,2.50090876045,24759,30.6963596195
373,641,Gerald Wallace,14.4590999151,7.04249727063,2.5110185597,24731,35.6518436967
317,552,John Salmons,12.6103413315,3.95860087868,3.31987157824,23672,31.5160642941
387,665,Marvin Williams,13.0194495413,6.46183486239,1.62,21800,42.824917382
16,29,Trevor Ariza,12.973553719,6.02479338843,2.62809917355,21780,35.8008859237
395,682,Thaddeus Young,16.3707762557,6.8401826484,1.76621004566,19710,34.9719465658
154,245,Jeff Green,15.7494275101,5.52338303394,1.85761538853,19651,30.3498943238
28,44,Matt Barnes,12.5711619225,6.95286980868,2.6486234251,19287,40.777590297
2,5,Arron Afflalo,14.690864142,3.81481065288,2.47780649511,17798,26.9604402664
66,96,Rasual Butler,12.7511835876,4.04418726986,1.37822198843,17109,41.5007587148
129,210,Channing Frye,13.8974662562,7.31423158892,1.5664219749,16892,44.0127485041
31,48,Nicolas Batum,13.28547885,5.97472990295,3.71580296649,16383,30.7889572766
240,405,Wesley Matthews,15.6429244986,3.44904758911,2.27899666813,15907,25.8377561707
26,42,Andrea Bargnani,17.9316715171,5.78742249779,1.48728331014,15806,31.1199970231
111,175,Jared Dudley,12.5750286369,5.03092783505,2.31615120275,15714,36.6222901418
221,376,Courtney Lee,12.7878593017,3.40531155553,2.04874284612,15551,37.3114939164
30,47,Brandon Bass,14.2750958352,7.55974270678,1.33090767332,15391,45.7686081098
6,14,Tony Allen,13.2853243208,5.54764071234,2.20408163265,15386,35.5413176439
183,295,Josh Howard,17.0501628664,6.76846905537,1.91609120521,15350,32.4863178564
55,80,Corey Brewer,14.1928973922,4.29065653256,2.40833442537,15262,29.0976987023
321,557,Thabo Sefolosha,9.12942743009,5.96804260985,2.31531291611,15020,52.8342858906
155,246,Willie Green,14.7550564838,3.17310424136,2.47906378949,14783,27.7934505366
46,70,Keith Bogans,10.5494596269,4.50278791216,2.1460728299,14527,45.4673779368
376,649,Martell Webster,13.0815006468,4.68564036223,1.5213454075,13914,39.4859525351
77,114,Wilson Chandler,15.8698763826,6.13142485361,2.04033832141,13833,30.7055802324
143,227,Ryan Gomes,13.1721013147,5.98707568893,1.90388472109,13463,38.9892069931
49,73,Matt Bonner,12.4903498191,6.4107358263,1.4900482509,13264,45.2159256353
279,490,Travis Outlaw,14.5730078305,5.45555043759,1.42054352833,13026,36.7926690051
253,432,C.J. Miles,16.798136646,4.18695652174,2.10186335404,12880,23.7935816637
38,55,Marco Belinelli,14.8990711108,3.15572554836,2.55436734057,12811,26.8420718417
391,676,Dorell Wright,13.4765472313,6.13583061889,2.49185667752,12280,34.9845819485
131,212,Danilo Gallinari,17.4308537194,5.40389415876,2.25861208188,12018,23.2435193229
292,510,Mickael Pietrus,13.9451046025,5.19062761506,1.34058577406,11950,38.7162144584
133,214,Francisco Garcia,13.1298405467,4.25208807897,2.26879271071,11853,34.0660890501
99,159,Carlos Delfino,12.792746114,5.64248704663,2.75751295337,11580,34.7867398792
168,274,Gerald Henderson,15.70603493,4.49455300017,2.69548677157,11566,21.7757010793
56,81,Ronnie Brewer,12.2922263628,4.4520322385,2.58323944883,11539,35.8561575906
264,451,Anthony Morrow,15.6935312831,3.72852598091,1.46659597031,11316,32.3243295183
97,150,Glen Davis,13.6213529682,7.40874367234,1.51421997239,10865,45.5116808699
283,496,Chandler Parsons,15.3447513812,5.44309392265,3.22872928177,10860,21.9727407405
382,659,Damien Wilkins,11.8605037365,4.47052311099,2.61389427069,10839,37.5886751437
202,339,James Jones,11.9784722878,4.16731186857,1.19308847134,10591,45.5197644268
78,116,Josh Childress,12.2438650307,6.38420245399,2.10161042945,10432,42.3727271941
251,425,Jodie Meeks,14.5913266818,3.2077447397,1.62520991801,10123,34.5597583048
200,335,Wesley Johnson,11.9832067173,4.87604958017,1.8712514994,10004,41.3529978971
92,140,Dante Cunningham,10.3900040967,6.7361736993,1.19459238017,9764,55.2811098984
201,337,Dahntay Jones,12.3053873781,3.97126731657,1.9431503335,9745,39.3369997918
153,243,Gerald Green,17.8854209446,4.45379876797,1.8,9740,25.3079008696
74,110,Omri Casspi,13.8958572472,6.84462068246,1.95345925076,9583,39.4992005634
65,95,Jimmy Butler,15.552581262,5.13193116635,2.75717017208,9414,22.9776680199
150,239,Danny Green,13.5583405359,4.9900605013,2.30639585134,9256,32.7774787817
315,549,Brandon Rush,11.6469430165,4.9217980969,1.59072514492,9143,44.4325363948
284,498,Patrick Patterson,12.2166208035,7.2,1.85052283985,9085,46.8631208496
209,352,Jason Kapono,13.490074989,3.35068372298,1.65549183944,9068,37.5325187662
53,78,Avery Bradley,15.0185289163,3.40797304885,2.13857383492,8905,28.886689043
286,500,Sasha Pavlovic,11.2884788479,4.0504050405,2.09405940594,8888,42.5570511142
357,617,Anthony Tolliver,11.050619715,6.47191011236,1.60129734739,8633,49.7660986788
138,220,Alonzo Gee,11.1800449226,5.37084761792,1.7533987469,8459,45.8611638695
115,183,Wayne Ellington,13.0387243736,3.88442632778,1.96379331015,8341,36.4428182726
212,360,Linas Kleiza,15.662309102,6.46548564447,1.41185094685,8185,37.3847366723
368,636,Sasha Vujacic,12.5540975489,4.29165635058,2.92795246348,8078,33.114014714
331,575,Jason Smith,13.1543657743,7.21891418564,1.6167125344,7994,45.3497777785
337,586,Lance Stephenson,12.0076530612,6.05204081633,4.35765306122,7840,36.2926196531
61,90,Chase Budinger,14.543943918,5.56614306115,2.11242373101,7703,31.8709614547
27,43,Harrison Barnes,12.9705535925,5.94110718492,1.85159010601,7641,39.8803774457
19,32,Darrell Arthur,13.0844514601,7.2501973165,1.51539068666,7602,46.3149170756
71,107,DeMarre Carroll,12.7467300832,6.10701545779,1.8644470868,7569,41.0580091116
384,661,Derrick Williams,15.4832027619,7.00305404329,1.12813703359,7531,42.1838174026
