1,Quincy Acy,190,29,2810,302,623,.485,28,89,.315,274,534,.513,.507,161,213,.756,219,459,678,117,74,74,116,361,793,
2,Jordan Adams,32,0,263,37,92,.402,10,26,.385,27,66,.409,.457,17,28,.607,9,21,30,19,19,7,16,26,101,
3,Steven Adams,202,138,4241,455,831,.548,0,2,.000,455,829,.549,.548,260,472,.551,469,709,1178,144,101,201,219,568,1170,
4,Jeff Adrien,153,17,2148,264,557,.474,0,2,.000,264,555,.476,.474,181,288,.628,221,438,659,100,50,79,91,259,709,
5,Arron Afflalo,624,479,17798,2639,5828,.453,735,1915,.384,1904,3913,.487,.516,1250,1520,.822,312,1574,1886,1225,309,124,757,1289,7263,
6,Alexis Ajinca,235,50,2949,486,948,.513,12,38,.316,474,910,.521,.519,192,239,.803,269,601,870,117,73,143,185,539,1176,
7,Josh Akognon,3,0,9,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,0,1,1,1,0,0,0,3,5,
8,Solomon Alabi,26,0,181,16,51,.314,0,0,,16,51,.314,.314,7,10,.700,22,39,61,5,4,11,8,16,39,
9,Furkan Aldemir,41,9,540,40,78,.513,0,5,.000,40,73,.548,.513,13,27,.481,78,98,176,28,17,16,17,96,93,
10,Cole Aldrich,227,20,2364,315,619,.509,0,0,,315,619,.509,.509,142,191,.743,228,559,787,133,83,163,144,342,772,
11,LaMarcus Aldridge,697,656,24426,5458,11234,.486,61,233,.262,5397,11001,.491,.489,2419,3030,.798,1858,3986,5844,1331,543,709,1112,1800,13396,
12,Cliff Alexander,7,0,31,5,10,.500,0,0,,5,10,.500,.500,0,0,,2,4,6,0,1,2,1,0,10,
13,Lavoy Allen,300,75,5562,696,1492,.466,2,14,.143,694,1478,.470,.467,143,211,.678,560,937,1497,301,96,178,210,575,1537,
14,Tony Allen,709,357,15386,2178,4580,.476,102,363,.281,2076,4217,.492,.487,1220,1701,.717,804,1567,2371,942,995,299,964,1675,5678,
15,Al-Farouq Aminu,431,228,9988,1119,2592,.432,188,607,.310,931,1985,.469,.468,530,731,.725,618,1724,2342,488,413,245,540,813,2956,
16,Lou Amundson,421,42,5466,648,1358,.477,0,3,.000,648,1355,.478,.477,264,599,.441,638,895,1533,187,151,303,293,829,1560,
17,Alan Anderson,287,66,6293,792,1945,.407,305,882,.346,487,1063,.458,.486,381,464,.821,147,516,663,346,175,30,281,542,2270,
18,Chris Andersen,663,31,11793,1293,2428,.533,13,56,.232,1280,2372,.540,.535,1036,1586,.653,1134,2239,3373,323,293,974,501,1297,3635,
19,James Anderson,227,75,3935,483,1176,.411,183,562,.326,300,614,.489,.489,165,216,.764,102,413,515,265,108,49,193,266,1314,
20,Justin Anderson,33,1,286,33,84,.393,11,43,.256,22,41,.537,.458,13,19,.684,3,50,53,10,10,8,13,23,90,
21,Kyle Anderson,82,11,1000,102,242,.421,9,30,.300,93,212,.439,.440,48,67,.716,18,164,182,93,38,25,41,75,261,
22,Ryan Anderson,468,158,12145,2104,4962,.424,954,2515,.379,1150,2447,.470,.520,898,1046,.859,987,1604,2591,418,263,176,478,940,6060,
23,Giannis Antetokounmpo,209,144,6203,862,1800,.479,63,227,.278,799,1573,.508,.496,576,788,.731,249,989,1238,498,187,205,422,603,2363,
24,Thanasis Antetokounmpo,2,0,6,3,4,.750,0,1,.000,3,3,1.000,.750,0,0,,0,1,1,0,0,0,0,2,6,
25,Carmelo Anthony,878,878,31936,7807,17222,.453,980,2852,.344,6827,14370,.475,.482,5356,6602,.811,1650,4165,5815,2745,951,423,2518,2575,21950,
26,Joel Anthony,465,110,6890,384,755,.509,0,0,,384,755,.509,.509,262,395,.663,553,763,1316,96,125,517,222,801,1030,
27,Pero Antic,113,29,1962,231,590,.392,108,344,.314,123,246,.500,.483,138,189,.730,115,283,398,107,37,26,104,258,708,
28,Keith Appling,5,0,27,2,8,.250,0,3,.000,2,5,.400,.250,2,2,1.000,0,1,1,1,1,0,3,5,6,
29,Trevor Ariza,768,467,21780,2849,6663,.428,890,2531,.352,1959,4132,.474,.494,1261,1776,.710,849,2796,3645,1590,1123,250,1118,1563,7849,
30,Hilton Armstrong,292,40,3378,347,693,.501,2,7,.286,345,686,.503,.502,184,316,.582,292,474,766,102,90,142,230,544,880,
31,Metta World Peace,951,836,31037,4623,11125,.416,1136,3331,.341,3487,7794,.447,.467,2538,3548,.715,1146,3244,4390,2610,1701,518,1777,2539,12920,
32,Darrell Arthur,419,92,7602,1183,2664,.444,73,251,.291,1110,2413,.460,.458,324,423,.766,487,1044,1531,320,266,265,346,1066,2763,
33,Omer Asik,399,220,8158,866,1630,.531,0,1,.000,866,1629,.532,.531,536,968,.554,947,2069,3016,252,150,323,499,819,2268,
34,D.J. Augustin,545,170,13193,1722,4281,.402,657,1765,.372,1065,2516,.423,.479,1172,1346,.871,150,839,989,2150,326,22,826,829,5273,
35,Gustavo Ayon,135,41,2251,284,530,.536,0,1,.000,284,529,.537,.536,67,133,.504,188,401,589,173,100,73,122,272,635,
36,Chris Babb,14,0,132,8,30,.267,6,27,.222,2,3,.667,.367,0,0,,4,13,17,3,6,0,3,13,22,
37,Luke Babbitt,239,30,3022,354,887,.399,221,559,.395,133,328,.405,.524,65,90,.722,72,442,514,114,51,36,103,296,994,
38,Cameron Bairstow,32,2,149,11,47,.234,0,4,.000,11,43,.256,.234,8,9,.889,10,23,33,6,4,4,5,24,30,
39,Renaldo Balkman,221,12,3064,368,721,.510,11,64,.172,357,657,.543,.518,147,271,.542,278,491,769,132,164,104,134,421,894,
40,Leandro Barbosa,754,112,16926,3162,6872,.460,937,2411,.389,2225,4461,.499,.528,1179,1440,.819,291,1269,1560,1667,647,109,994,1524,8440,
41,J.J. Barea,635,78,12118,2002,4777,.419,541,1561,.347,1461,3216,.454,.476,709,890,.797,196,1059,1255,2209,246,17,909,948,5254,
42,Andrea Bargnani,550,377,15806,2932,6676,.439,627,1771,.354,2305,4905,.470,.486,1382,1677,.824,530,2011,2541,653,207,470,851,1338,7873,
43,Harrison Barnes,277,216,7641,1032,2323,.444,250,665,.376,782,1658,.472,.498,439,590,.744,276,985,1261,393,206,59,291,518,2753,
44,Matt Barnes,828,314,19287,2492,5601,.445,848,2510,.338,1644,3091,.532,.521,903,1222,.739,961,2764,3725,1419,643,398,1006,2087,6735,
45,Earl Barron,140,31,1985,255,687,.371,3,18,.167,252,669,.377,.373,127,181,.702,188,304,492,63,46,30,107,270,640,
46,Will Barton,226,6,3804,640,1493,.429,124,399,.311,516,1094,.472,.470,291,356,.817,125,582,707,300,139,61,225,253,1695,
47,Brandon Bass,687,283,15391,2388,4833,.494,11,54,.204,2377,4779,.497,.495,1316,1588,.829,1066,2166,3232,569,272,452,675,1292,6103,
48,Nicolas Batum,525,472,16383,2154,4874,.442,842,2329,.362,1312,2545,.516,.528,896,1073,.835,620,2099,2719,1691,481,380,921,997,6046,
49,Jerryd Bayless,493,70,10316,1460,3518,.415,384,1063,.361,1076,2455,.438,.470,886,1072,.826,138,895,1033,1446,315,61,727,1023,4190,
50,Aron Baynes,192,21,2514,393,768,.512,1,7,.143,392,761,.515,.512,182,225,.809,267,468,735,115,35,65,159,360,969,
51,Kent Bazemore,253,68,3927,557,1292,.431,181,499,.363,376,793,.474,.501,241,359,.671,54,555,609,310,177,71,266,369,1536,
52,Bradley Beal,221,197,7300,1329,3123,.426,395,988,.400,934,2135,.437,.489,479,613,.781,177,657,834,657,228,73,408,470,3532,
53,Michael Beasley,433,200,10675,2281,5073,.450,233,680,.343,2048,4393,.466,.473,833,1098,.759,485,1611,2096,571,262,225,765,976,5628,
54,Rodrigue Beaubois,182,54,2896,502,1143,.439,129,397,.325,373,746,.500,.496,153,189,.810,47,291,338,374,124,52,204,312,1286,
55,Marco Belinelli,554,216,12811,1890,4446,.425,733,1926,.381,1157,2520,.459,.508,789,957,.824,127,996,1123,909,324,35,582,863,5302,
56,Jerrelle Benimon,2,0,3,0,0,,0,0,,0,0,,,0,0,,1,2,3,0,0,0,1,0,0,
57,Anthony Bennett,124,3,1631,211,545,.387,22,89,.247,189,456,.414,.407,94,143,.657,107,285,392,65,52,24,87,188,538,
58,Keith Benson,3,0,9,0,1,.000,0,0,,0,1,.000,.000,0,0,,2,1,3,0,0,0,0,0,0,
59,Patrick Beverley,197,146,5364,626,1545,.405,316,855,.370,310,690,.449,.507,194,252,.770,223,449,672,581,225,82,247,575,1762,
60,Sim Bhullar,3,0,3,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,1,0,1,0,0,2,
61,Andris Biedrins,516,311,11146,1432,2409,.594,0,2,.000,1432,2407,.595,.594,383,766,.500,1190,2441,3631,467,331,580,479,1626,3247,
