4236,Kareem Abdul-Jabbar,1560,625,57446,15837,28307,.559,1,18,.056,15836,28289,.560,.559,6712,9304,.721,2975,9394,17440,5660,1160,3189,2527,4657,38387,
4237,Tiny Archibald,876,268,31159,5899,12628,.467,19,85,.224,5880,12543,.469,.468,4664,5760,.810,344,1015,2046,6476,719,81,1123,2002,16481,
4238,Paul Arizin,713,,24897,5628,13354,.421,,,,5628,13354,.421,.421,5010,6189,.810,,,6129,1665,,,,2764,16266,
4239,Charles Barkley,1073,1012,39330,8435,15605,.541,538,2020,.266,7897,13585,.581,.558,6349,8643,.735,4260,8286,12546,4215,1648,888,3376,3287,23757,
4240,Don Barksdale,262,,7460,1016,2747,.370,,,,1016,2747,.370,.370,863,1307,.660,,,2088,549,,,,941,2895,
4241,Rick Barry,794,,28825,7252,16163,.449,73,221,.330,7179,15942,.450,.451,3818,4243,.900,510,2366,5168,4017,1104,269,574,2264,18395,
4242,Elgin Baylor,846,,33863,8693,20171,.431,,,,8693,20171,.431,.431,5763,7391,.780,,,11463,3650,,,,2596,23149,
4243,Walt Bellamy,1043,,38940,7914,15340,.516,,,,7914,15340,.516,.516,5113,8088,.632,264,481,14241,2544,52,48,,3536,20941,
4244,Dave Bing,901,,32769,6962,15769,.441,,,,6962,15769,.441,.441,4403,5683,.775,418,741,3420,5397,483,89,216,2615,18327,
4245,Larry Bird,897,870,34443,8591,17334,.496,649,1727,.376,7942,15607,.509,.514,3960,4471,.886,1757,7217,8974,5695,1556,755,2816,2279,21791,
4246,Bill Bradley,742,,22799,3927,8763,.448,,,,3927,8763,.448,.448,1363,1623,.840,198,643,2354,2533,209,65,,2363,9217,
4247,Larry Brown,
4248,Roger Brown,
4249,Al Cervi,202,,1151,405,1128,.359,,,,405,1128,.359,.359,781,931,.839,,,261,648,,,,669,1591,
4250,Wilt Chamberlain,1045,,47859,12681,23497,.540,,,,12681,23497,.540,.540,6057,11862,.511,,,23924,4643,,,,2075,31419,
4251,Nathaniel Clifton,544,,14369,2082,5766,.361,,,,2082,5766,.361,.361,1280,2021,.633,,,4469,1367,,,,1840,5444,
4252,Chuck Cooper,409,,7964,933,2750,.339,,,,933,2750,.339,.339,859,1156,.743,,,2431,734,,,,1196,2725,
4253,Bob Cousy,924,,30165,6168,16468,.375,,,,6168,16468,.375,.375,4624,5756,.803,,,4786,6955,,,,2242,16960,
4254,Dave Cowens,766,89,29565,5744,12499,.460,1,14,.071,5743,12485,.460,.460,2027,2590,.783,1574,5122,10444,2910,599,488,543,2920,13516,
4255,Billy Cunningham,654,,22406,5116,11467,.446,,,,5116,11467,.446,.446,3394,4717,.720,159,714,6638,2625,115,45,,2431,13626,
4256,Louie Dampier,232,,4431,692,1418,.488,,,,692,1418,.488,.488,169,226,.748,61,200,261,643,171,36,134,219,1553,
4257,Mel Daniels,11,,126,13,35,.371,,,,13,35,.371,.371,13,23,.565,10,24,34,6,3,11,,29,39,
4258,Adrian Dantley,955,546,34151,8169,15121,.540,7,41,.171,8162,15080,.541,.540,6832,8351,.818,2207,3248,5455,2830,944,150,2503,2550,23177,
4259,Bob Davies,402,,8617,1975,5196,.380,,,,1975,5196,.380,.380,1740,2299,.757,,,980,1929,,,,1369,5690,
4260,Dave DeBusschere,875,,31202,5722,13249,.432,,,,5722,13249,.432,.432,2609,3730,.699,134,623,9618,2497,67,39,,2801,14053,
4261,Clyde Drexler,1086,950,37537,8335,17673,.472,827,2603,.318,7508,15070,.498,.495,4698,5962,.788,2615,4062,6677,6125,2207,719,2977,3285,22195,
4262,Joe Dumars,1018,944,35139,5994,13026,.460,990,2592,.382,5004,10434,.480,.498,3423,4059,.843,671,1532,2203,4612,902,83,2084,1826,16401,
4263,Wayne Embry,831,,21763,3993,9067,.440,,,,3993,9067,.440,.440,2394,3741,.640,,,7544,1194,,,,2838,10380,
4264,Alex English,1193,753,38063,10659,21036,.507,18,83,.217,10641,20953,.508,.507,4277,5141,.832,2778,3760,6538,4351,1067,833,2821,3027,25613,
4265,Julius Erving,836,442,28677,7237,14276,.507,46,176,.261,7191,14100,.510,.509,3844,4950,.777,2067,3534,5601,3224,1508,1293,2323,2286,18364,
4266,Patrick Ewing,1183,1122,40594,9702,19241,.504,19,125,.152,9683,19116,.507,.505,5392,7289,.740,2752,8855,11607,2215,1136,2894,3537,4034,24815,
4267,Walt Frazier,825,,30965,6130,12516,.490,0,1,.000,6130,12515,.490,.490,3321,4226,.786,403,1523,4830,5040,681,63,139,2180,15581,
4268,Joe Fulks,326,,4490,1494,4834,.309,,,,1494,4834,.309,.309,1117,1446,.772,,,1379,462,,,,1151,4105,
4269,Harry Gallatin,630,,15813,2653,6578,.403,,,,2653,6578,.403,.403,3103,3998,.776,,,6684,1145,,,,1959,8409,
4270,George Gervin,791,377,26536,8045,15747,.511,77,259,.297,7968,15488,.514,.513,4541,5383,.844,1186,2421,3607,2214,941,670,2137,2331,20708,
4271,Artis Gilmore,909,476,29685,5732,9570,.599,1,13,.077,5731,9557,.600,.599,4114,5768,.713,2639,6522,9161,1777,470,1747,2347,2986,15579,
4272,Tom Gola,698,,22529,2964,6883,.431,,,,2964,6883,.431,.431,1943,2556,.760,,,5617,2962,,,,2688,7871,
4273,Gail Goodrich,1031,,33527,7431,16300,.456,,,,7431,16300,.456,.456,4319,5354,.807,453,651,3279,4805,545,72,390,2775,19181,
4274,Hal Greer,1122,,39788,8504,18811,.452,,,,8504,18811,.452,.452,4578,5717,.801,,,5665,4540,,,,3855,21586,
4275,Richie Guerin,848,,27449,5174,12451,.416,,,,5174,12451,.416,.416,4328,5549,.780,,,4278,4211,,,,2769,14676,
4276,Cliff Hagan,745,,21731,5239,11630,.450,,,,5239,11630,.450,.450,2969,3722,.798,,,5116,2242,,,,2388,13447,
4277,Alex Hannum,516,,7713,1182,3341,.354,,,,1182,3341,.354,.354,714,1135,.629,,,2013,857,,,,1955,3078,
4278,John Havlicek,1270,,46471,10513,23930,.439,,,,10513,23930,.439,.439,5369,6589,.815,610,1389,8007,6114,476,117,204,3281,26395,
4279,Connie Hawkins,499,,17234,3013,6453,.467,,,,3013,6453,.467,.467,2207,2811,.785,332,876,3971,2052,244,150,,1459,8233,
4280,Elvin Hayes,1303,129,50000,10976,24272,.452,5,34,.147,10971,24238,.453,.452,5356,7999,.670,2778,6973,16279,2398,864,1771,1358,4193,27313,
4281,Spencer Haywood,760,88,25600,5790,12447,.465,1,8,.125,5789,12439,.465,.465,3011,3766,.800,1493,3228,7038,1351,355,629,716,2167,14592,
4282,Tom Heinsohn,654,,19254,4773,11787,.405,,,,4773,11787,.405,.405,2648,3353,.790,,,5749,1318,,,,2454,12194,
4283,Red Holzman,298,,2106,605,1931,.313,,,,605,1931,.313,.313,410,585,.701,,,344,572,,,,385,1620,
4284,Bob Houbregs,281,,6725,906,2245,.404,,,,906,2245,.404,.404,799,1108,.721,,,1552,500,,,,690,2611,
4285,Bailey Howell,950,,30627,6515,13585,.480,,,,6515,13585,.480,.480,4740,6224,.762,,,9383,1853,,,,3498,17770,
4286,Dan Issel,718,236,22342,5424,10711,.506,19,75,.253,5405,10636,.508,.507,3792,4756,.797,1686,4021,5707,1804,698,396,1281,2022,14659,
4287,Phil Jackson,807,,14201,2076,4583,.453,0,2,.000,2076,4581,.453,.453,1276,1734,.736,515,1447,3454,898,281,199,134,2366,5428,
4288,Buddy Jeannette,37,,,42,148,.284,,,,42,148,.284,.284,109,133,.820,,,,93,,,,82,193,
4289,Dennis Johnson,1100,673,35954,5832,13100,.445,80,464,.172,5752,12636,.455,.448,3791,4754,.797,1459,2790,4249,5499,1477,675,2448,3087,15535,
4290,Gus Johnson,581,,20140,4126,9383,.440,,,,4126,9383,.440,.440,1692,2420,.699,,,7379,1541,,,,2037,9944,
4291,Magic Johnson,906,763,33245,6211,11951,.520,325,1074,.303,5886,10877,.541,.533,4960,5850,.848,1601,4958,6559,10141,1724,374,3506,2050,17707,
4292,Neil Johnston,516,,18298,3303,7435,.444,,,,3303,7435,.444,.444,3417,4447,.768,,,5856,1269,,,,1681,10023,
4293,K.C. Jones,676,,17501,1919,4961,.387,,,,1919,4961,.387,.387,1173,1814,.647,,,2399,2908,,,,1816,5011,
4294,Sam Jones,871,,24285,6271,13745,.456,,,,6271,13745,.456,.456,2869,3572,.803,,,4305,2209,,,,1735,15411,
4295,Michael Jordan,1072,1039,41011,12192,24537,.497,581,1778,.327,11611,22759,.510,.509,7327,8772,.835,1668,5004,6672,5633,2514,893,2924,2783,32292,
4296,Bernard King,874,547,29417,7830,15109,.518,23,134,.172,7807,14975,.521,.519,3972,5444,.730,1704,3356,5060,2863,866,230,2791,2885,19655,
4297,Bob Lanier,959,179,32103,7761,15092,.514,2,13,.154,7759,15079,.515,.514,3724,4858,.767,1843,4853,9698,3007,777,1100,1112,3048,19248,
4298,Slick Leonard,426,,11632,1574,4510,.349,,,,1574,4510,.349,.349,1056,1418,.745,,,1217,1427,,,,915,4204,
4299,Earl Lloyd,560,,14477,1766,4955,.356,,,,1766,4955,.356,.356,1150,1533,.750,,,3609,810,,,,2098,4682,
4300,Clyde Lovellette,704,,19075,4784,10795,.443,,,,4784,10795,.443,.443,2379,3141,.757,,,6663,1097,,,,2289,11947,
4301,Jerry Lucas,829,,32131,5709,11441,.499,,,,5709,11441,.499,.499,2635,3365,.783,62,312,12942,2732,28,24,,2387,14053,
4302,Ed Macauley,641,,18071,3742,8589,.436,,,,3742,8589,.436,.436,3750,4929,.761,,,4325,2079,,,,1667,11234,
