index,pid,pname,ppm,rpm,apm,MP
60,89,Kobe Bryant,24.884037178,5.23311084773,4.6964007236,48093
291,509,Paul Pierce,20.8357363998,5.91348960637,3.72339672711,45220
73,109,Vince Carter,20.9295553704,5.14260502966,3.83401147115,40798
199,329,Joe Johnson,16.922107561,4.07134352054,4.17493550308,40312
254,433,Andre Miller,14.5681143513,4.281886896,7.628907127,40087
347,604,Jason Terry,16.6941938763,2.82566382925,4.76950832169,39355
191,312,LeBron James,25.0742838905,6.57400462778,6.3518710604,37599
282,495,Tony Parker,18.6829397718,3.23905545237,6.59485274609,33921
89,137,Jamal Crawford,18.057400722,2.7963898917,4.16101083032,33240
14,25,Carmelo Anthony,24.7432364729,6.55498496994,3.09431362725,31936
186,302,Andre Iguodala,13.756738737,5.46794932851,4.67930279074,31497
369,637,Dwyane Wade,23.8454417388,4.86134030992,5.83819682029,29814
177,285,Kirk Hinrich,12.8142841234,3.42640781024,5.65410742789,26939
285,499,Chris Paul,18.7256229081,4.35507623652,9.90702863518,26890
383,660,Deron Williams,17.3830467662,3.27235787652,8.57097708717,26579
116,184,Monta Ellis,19.1186986879,3.53425918821,4.82559656257,26066
124,200,Raymond Felton,13.6763202726,3.47091749817,6.64395229983,24654
141,224,Manu Ginobili,19.2527417539,5.07251574163,5.43430215587,23981
386,664,Mo Williams,16.2257780018,3.41237243291,6.02494645332,23811
114,178,Kevin Durant,25.9884948914,6.64394264617,3.41392633296,23294
189,307,Jarrett Jack,14.1660534598,3.66399219824,5.74333968704,22559
305,536,Luke Ridnour,12.8862784997,3.12500578088,6.18175091338,21623
269,467,Jameer Nelson,15.0980720872,3.85247275775,6.61190276614,21474
69,103,Jose Calderon,12.4583651642,3.19537815126,8.14400305577,20944
311,543,Rajon Rondo,11.998826578,5.30152055933,9.47479587347,20453
84,126,Mike Conley,14.9513497624,3.16946744403,6.21194453971,20411
145,231,Ben Gordon,19.592654424,3.27192379456,3.30197387803,20366
43,66,Steve Blake,9.82221127801,3.1416892391,5.90928342773,20305
161,261,Devin Harris,16.127798087,3.12063698733,6.17276779007,19969
378,651,Russell Westbrook,22.6626790493,5.77994648198,7.83692743586,19059
233,391,Kyle Lowry,15.7800381437,4.79084551812,6.74570883662,18876
362,626,Beno Udrih,13.7461617195,3.37973387922,5.57215967247,17586
